pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023-04-17	The Proteins of mRNA Modification: Writers, Readers, and Erasers	Annu Rev Biochem	Review article on RNA modification writers, readers and erasers	Flamand MN, Tegowski M, Meyer KD. (2023). "The Proteins of mRNA Modification: Writers, Readers, and Erasers" <i>Annu Rev Biochem</i> 92:145-173.	The Proteins of mRNA Modification: Writers, Readers, and Erasers	10.1146/annurev-biochem-052521-035330
2022-10-27	Single-molecule identification of the target RNAs of different RNA binding proteins simultaneously in cells	Genes Dev	TRIBE-STAMP article	Flamand MN, Ke K, Tamming R, Meyer KD. (2022). "Single-molecule identification of the target RNAs of different RNA binding proteins simultaneously in cells" <i>Genes Dev</i> 36(17-18):1002-1015. 	Single-molecule identification of the target RNAs of different RNA binding proteins simultaneously in cells	10.1101/gad.349983.122
2022-08-31	RBM45 is an m(6)A-binding protein that affects neuronal differentiation and the splicing of a subset of mRNAs	Cell Rep	RBM45 as a novel m6A readers in neuronal cells	Choi SH, Flamand MN, Liu B, Zhu H, Hu M, Wang M, Sewell J, Holley CL, Al-Hashimi HM, Meyer KD. (2022). "RBM45 is an m(6)A-binding protein that affects neuronal differentiation and the splicing of a subset of mRNAs" <i>Cell Rep</i> 40(9):111293. 	RBM45 is an m(6)A-binding protein that affects neuronal differentiation and the splicing of a subset of mRNAs	10.1016/j.celrep.2022.111293
2022-04-19	m6A and YTHDF proteins contribute to the localization of select neuronal mRNAs	Nucleic Acids Res	m6A contribute to RNA localization in neurons	Flamand MN, Meyer KD. (2022). "m6A and YTHDF proteins contribute to the localization of select neuronal mRNAs" <i>Nucleic Acids Res</i> 50(8):4464-4483.	m6A and YTHDF proteins contribute to the localization of select neuronal mRNAs	10.1093/nar/gkac251
2022-01-26	scDART-seq reveals distinct m(6)A signatures and mRNA methylation heterogeneity in single cells	Mol Cell	single-cell DART-seq	Tegowski M, Flamand MN, Meyer KD. (2022). "scDART-seq reveals distinct m(6)A signatures and mRNA methylation heterogeneity in single cells" <i>Mol Cell</i> 82(4):868-878.e10	scDART-seq reveals distinct m(6)A signatures and mRNA methylation heterogeneity in single cells	10.1016/j.molcel.2021.12.038
2021-03-24	microRNA-mediated translation repression through GYF-1 and IFE-4 in C. elegans development	Nucleic Acids Res	GYF-1 gene expression control in C. elegans	Mayya VK, Flamand MN, Lambert AM, Jafarnejad SM, Wohlschlegel JA, Sonenberg N, Duchaine TF. (2021). "microRNA-mediated translation repression through GYF-1 and IFE-4 in C. elegans development" <i>Nucleic Acids Res</i> 49(9):4803-4815.	microRNA-mediated translation repression through GYF-1 and IFE-4 in C. elegans development	10.1093/nar/gkab162
2020-04-30	A Family of Argonaute-Interacting Proteins Gates Nuclear RNAi	Mol Cell		Lewis A, Berkyurek AC, Greiner A, Sawh AN, Vashisht A, Merrett S, Flamand MN, Wohlschlegel J, Sarov M, Miska EA, Duchaine TF. (2020). "A Family of Argonaute-Interacting Proteins Gates Nuclear RNAi" <i>Mol Cell</i> 78(5):862-875.e8.	A Family of Argonaute-Interacting Proteins Gates Nuclear RNAi	10.1016/j.molcel.2020.04.007
2019-05-21	The epitranscriptome and synaptic plasticity	Curr Opin Neurobiol	Review article on RNA modifications in synaptic plasticity	Flamand MN, Meyer KD. (2019). "The epitranscriptome and synaptic plasticity" <i>Curr Opin Neurobiol</i> 59:41-48.	The epitranscriptome and synaptic plasticity	10.1016/j.conb.2019.04.007
2019-04-07	MiR-35 buffers apoptosis thresholds in the C. elegans germline by antagonizing both MAPK and core apoptosis pathways	Cell Death Differ		Tran AT, Chapman EM, Flamand MN, Yu B, Krempel SJ, Duchaine TF, Eroglu M, Derry WB. (2019). "MiR-35 buffers apoptosis thresholds in the C. elegans germline by antagonizing both MAPK and core apoptosis pathways" <i>Cell Death Differ</i> 26(12):2637-2651.	MiR-35 buffers apoptosis thresholds in the C. elegans germline by antagonizing both MAPK and core apoptosis pathways	10.1038/s41418-019-0325-6
2017-05-09	A non-canonical site reveals the cooperative mechanisms of microRNA-mediated silencing	Nucleic Acids Res		Flamand MN, Gan HH, Mayya VK, Gunsalus KC, Duchaine TF. (2017). "A non-canonical site reveals the cooperative mechanisms of microRNA-mediated silencing" <i>Nucleic Acids Res</i> 45(12):7212-7225.	A non-canonical site reveals the cooperative mechanisms of microRNA-mediated silencing	10.1093/nar/gkx340
